rating,date,variation,verified_reviews,feedback,row_id,sentiment,categories,keywords,summary
4,31-Jul-18,Walnut Finish ,"Sometimes while playing a game, you can answer a question correctly but Alexa says you got it wrong and answers the same as you. I like being able to turn lights on and off while away from home.",1,0,mixed,Voice Recognition | Smart Home Integration,voice recognition errors | remote light control | game accuracy issues,"Voice recognition sometimes misinterprets correct game answers, but remote light control works well."
5,31-Jul-18,Charcoal Fabric ,"I have had a lot of fun with this thing. My 4 yr old learns about dinosaurs, i control the lights and play games like categories. Has nice sound when playing music as well.",1,1,positive,Alexa Skills and Features | Sound Quality | Smart Home Integration,educational content | light control | music quality | family entertainment,"Highly satisfying for children's learning, home automation, and music playback with good sound."
5,31-Jul-18,Heather Gray Fabric ,"I received the echo as a gift. I needed another Bluetooth or something to play music easily accessible, and found this smart speaker. Can’t wait to see what else it can do.",1,2,positive,Gift Purchase | Video and Streaming,gift purchase | music playback | Bluetooth alternative,Gift recipient pleased with convenient music streaming and interested in exploring more features.
3,31-Jul-18,Sandstone Fabric ,"Without having a cellphone, I cannot use many of her features. I have an iPad but do not see that of any use. It IS a great alarm. If u r almost deaf, you can hear her alarm in the bedroom from out in the living room, so that is reason enough to keep her.It is fun to ask random questions to hear her response. She does not seem to be very smartbon politics yet.",1,3,mixed,Device Reliability | Alexa Skills and Features,limited features without smartphone | loud alarm | question answering | knowledge gaps,"Useful for alarms and basic questions, but smartphone dependency limits features; questionable on some topics."
5,31-Jul-18,Charcoal Fabric ,I think this is the 5th one I've purchased. I'm working on getting one in every room of my house. I really like what features they offer specifily playing music on all Echos and controlling the lights throughout my house.,1,4,positive,Smart Home Integration | Alexa Skills and Features,repeat purchaser | multi-room music | home automation | lighting control,Repeat buyer installing throughout home; values multi-room music and lighting control features.
5,30-Jul-18,Heather Gray Fabric ,"Love it! I’ve listened to songs I haven’t heard since childhood! I get the news, weather, information! It’s great!",1,5,positive,Alexa Skills and Features,nostalgia music | news and weather | information access,"Delighted with music discovery, news, weather, and general information retrieval capabilities."
5,30-Jul-18,Charcoal Fabric ,"I sent it to my 85 year old Dad, and he talks to it constantly.",1,6,positive,Alexa Skills and Features,elderly user engagement | frequent use | voice interaction,Elderly recipient uses device frequently and enjoys constant voice interaction.
5,30-Jul-18,Charcoal Fabric ,I love it! Learning knew things with it eveyday! Still figuring out how everything works but so far it's been easy to use and understand. She does make me laugh at times,1,7,positive,Alexa Skills and Features | Setup and Configuration,learning experience | entertainment value | intuitive interface,Satisfied user discovering new features daily with intuitive design and entertaining responses.
5,30-Jul-18,Oak Finish ,"I purchased this for my mother who is having knee problems now, to give her something to do while trying to over come not getting around so fast like she did.She enjoys all the little and big things it can do...Alexa play this song, What time is it and where, and how to cook this and that!",1,8,positive,Alexa Skills and Features,elder care gift | music control | time queries | recipe assistance,Gift for elderly parent recovering from injury; enjoys diverse features from music to cooking assistance.
5,30-Jul-18,Oak Finish ,Just what I expected....,1,9,positive,,met expectations | satisfactory,Device met purchaser's expectations.
5,30-Jul-18,Heather Gray Fabric ,"I love it, wife hates it.",1,10,mixed,,wife dislikes it | user loves it | divided opinions,User loves the device but their wife dislikes it.
5,30-Jul-18,Heather Gray Fabric ,Really happy with this purchase. Great speaker and easy to set up.,1,11,positive,Sound Quality | Setup and Configuration,great speaker | easy to set up | happy with purchase,User is satisfied with the speaker quality and straightforward setup process.
5,30-Jul-18,Heather Gray Fabric ,We have only been using Alexa for a couple of days and are having a lot of fun with our new toy. It like having a new household member! We are trying to learn all the different featues and benefits that come with it.,1,12,positive,Alexa Skills and Features,fun with new device | learning features | household member,User is enjoying learning Alexa's features and having fun with the new device.
5,30-Jul-18,Charcoal Fabric ,We love the size of the 2nd generation echo. Still needs a little improvement on sound,1,13,mixed,Design and Appearance | Sound Quality,love the size | needs sound improvement | 2nd generation,User likes the compact size but feels sound quality could be better.
4,30-Jul-18,Sandstone Fabric ,"I liked the original Echo. This is the same but shorter and with greater fabric/color choices. I miss the volume ring on top, now it's just the plus/minus buttons. Not a big deal but the ring w as comforting. :) Other than that, well I do like the use of a standard USB charger /port instead of the previous round pin. Other than that, I guess it sounds the same, seems to work the same, still answers to Alexa/Echo/Computer. So what's not to like? :)",1,14,positive,Design and Appearance | Battery and Power,same functionality | better design choices | USB charger | fabric color options,User appreciates the improved design and USB charger while maintaining comparable performance.
5,30-Jul-18,Charcoal Fabric ,Love the Echo and how good the music sounds playing off it. Alexa understands most commands but it is difficult at times for her to find specific playlists or songs on Spotify. She is good with Amazon Music but is lacking in other major programs.,1,15,mixed,Sound Quality | Voice Recognition | Alexa Skills and Features,great music sound | Spotify playlist difficulties | Amazon Music works well,User loves the sound quality but finds Alexa struggles with non-Amazon music service commands.
5,30-Jul-18,Charcoal Fabric ,"We love Alexa! We use her to play music, play radio through iTunes, play podcasts through Anypod, and set reminders. We listen to our flash briefing of news and weather every morning. We rely on our custom lists. We like being able to voice control the volume. We're sure we'll continue to find new uses.Sometimes it's a bit frustrating when Alexa doesn't understand what we're saying.",1,16,mixed,Alexa Skills and Features | Voice Recognition,love Alexa | voice control volume | voice recognition issues | music and podcasts,User loves Alexa's capabilities but occasionally encounters voice recognition failures.
4,30-Jul-18,Heather Gray Fabric ,"Have only had it set up for a few days. Still adding smart home devices to it. The speaker is great for playing music. I like the size, we have it stationed on the kitchen counter and it’s not intrusive to look at.",1,17,positive,Sound Quality | Design and Appearance | Smart Home Integration,great speaker | compact size | kitchen counter placement | smart home integration,"User appreciates the speaker quality, compact design, and smart home functionality."
5,30-Jul-18,Charcoal Fabric ,I love it. It plays my sleep sounds immediately when I ask,1,18,positive,Alexa Skills and Features,plays sleep sounds immediately | responsive | love it,User is satisfied with how quickly Alexa plays sleep sounds on request.
3,30-Jul-18,Sandstone Fabric ,"I got a second unit for the bedroom, I was expecting the sounds to be improved but I didnt really see a difference at all. Overall, not a big improvement over the 1st generation.",1,19,negative,Sound Quality,no sound improvement | second unit | not big upgrade | 1st generation comparison,Second generation unit shows minimal sound quality improvement over the original.
5,30-Jul-18,Charcoal Fabric ,"I love my Echo. It's easy to operate, loads of fun.It is everything as advertised. I use it mainly to play my favorite tunes and test Alexa's knowledge.",1,20,positive,Alexa Skills and Features | Sound Quality,easy to operate | plays favorite tunes | tests Alexa knowledge,User loves their Echo for its ease of use and entertainment features.
5,30-Jul-18,Charcoal Fabric ,Sounds great!! Love them!,1,21,positive,Sound Quality,sounds great | love them,User is satisfied with the sound quality and overall product.
4,30-Jul-18,Charcoal Fabric ,"Fun item to play with and get used to using. Sometimes has hard time answering the questions you ask, but I think it will be better.",1,22,mixed,Alexa Skills and Features,fun to use | difficulty answering questions | learning experience,Device is fun but sometimes struggles with question comprehension; user expects improvement.
5,30-Jul-18,Charcoal Fabric ,Just like the other one,1,23,positive,,similar to other model,User notes this device is comparable to their previous Echo model.
5,30-Jul-18,Sandstone Fabric ,Still learning all the capabilities...but so far pretty pretty pretty good,1,24,positive,Alexa Skills and Features,learning capabilities | very good performance,User is pleased with the device's capabilities and performance so far.
5,30-Jul-18,Sandstone Fabric ,"She works well. Needs a learning command for unique, owners and users like. Alexa “learn” Tasha’s birthday. Or Alexa “learn” my definition of Fine. Etc. other than that she is great",1,25,mixed,Alexa Skills and Features,works well | missing learning command | personalization needed,Device functions well but lacks personalized learning features for individual users.
3,30-Jul-18,Heather Gray Fabric ,The speakers sound pretty good for being so small and setup is pretty easy. I bought two and the reason I only rate it a 3 is I have followed the instructions for synching music to both units. I know I've done it correctly but they won't sync. That was my primary motivation for purchasing multiple units.,1,26,mixed,Sound Quality | Setup and Configuration | Device Reliability,good speaker sound | easy setup | music sync failure,"Speaker quality and setup are good, but multi-unit music syncing fails despite correct instructions."
5,30-Jul-18,Charcoal Fabric ,This device is awesome!,1,27,positive,,awesome device,User thinks the device is awesome.
