reviewerID,asin,reviewerName,helpful,reviewText,overall,summary_x,unixReviewTime,reviewTime,row_id,sentiment,categories,keywords,summary_y
A2IBPI20UZIR0U,1384719342,"cassandra tu ""Yeah, well, that's just like, u...","[0, 0]","Not much to write about here, but it does exactly what it's supposed to. filters out the pop sounds. now my recordings are much more crisp. it is one of the lowest prices pop filters on amazon so might as well buy it, they honestly work the same despite their pricing,",5,good,1393545600,"02 28, 2014",0,positive,Sound Quality | Value for Price,filters pop sounds | crisp recordings | lowest price | works effectively,Affordable pop filter effectively removes pops and improves recording clarity.
A2C00NNG1ZQQG2,1384719342,"RustyBill ""Sunday Rocker""","[0, 0]",Nice windscreen protects my MXL mic and prevents pops. Only thing is that the gooseneck is only marginally able to hold the screen in position and requires careful positioning of the clamp to avoid sagging.,5,GOOD WINDSCREEN FOR THE MONEY,1392336000,"02 14, 2014",3,mixed,Microphone Quality | Build Quality,protects mic | prevents pops | gooseneck sagging | careful positioning required,Windscreen protects mic and prevents pops but gooseneck struggles to hold position.
A3M1PLEYNDEYO8,B00004Y2UT,"G. Thomas ""Tom""","[0, 0]",Perfect for my Epiphone Sheraton II. Monster cables are well constructed. I have several and never had any problems with any of them over the years. Got this one because I wanted the 90 degree plug.,5,Great cable,1215302400,"07 6, 2008",8,positive,Cable Quality | Build Quality,well constructed | reliable over years | 90 degree plug | Monster cables,Well-built Monster cable with 90-degree plug performs reliably over time.
A2NYK9KWFMJV4Y,B00004Y2UT,"Mike Tarrani ""Jazz Drummer""","[6, 6]","Monster makes a wide array of cables, including some that are very high end. I initially purchased a pair ofMonster Rock Instrument Cable - 21 Feet - Angled to Straight 1/4-Inch plugto use with my keyboards, but when it came time to purchase cables for my bass and guitar I thought I'd pinch a few pennies. I am so glad I did.I compared this cable model to the more expensive models I previously purchased and, aside from looks, could not detect any difference in sound. I Swapped back and forth between my guitars and keyboards, ensuring that each model was used on each instrument - still no difference.What the more expensive model has going for it is looks. I am not sure it (the higher priced model) is even more sturdy because the molded stress relief ends on this model seem to make it more reliable than its pricier sibling.Bottom line: carefully compare both cables using your own instrument and amp - if possible - before making a purchase decision. You may find, as I did, that higher price does not necessarily equal higher value, even from the same manufacturer.",5,One of the best instrument cables within the brand,1334793600,"04 19, 2012",10,positive,Cable Quality | Value for Price | Build Quality,no sound difference | lower cost option | reliable stress relief | careful comparison advised,Budget Monster cable matches expensive models in sound quality and durability.
A17SLR18TUMULM,B00005ML71,Straydogger,"[0, 0]",I bought this to use in my home studio to control my midi keyboard. It does just what I wanted it to do.,5,It works!,1356912000,"12 31, 2012",14,positive,Ease of Use | Pedal Function,controls midi keyboard | does what intended | home studio use,Midi controller performs its intended function for home studio keyboard control.
A1CL807EOUPVP1,B000068NSX,GunHawk,"[0, 0]",Fender cords look great and work just as well. By adding the word California to the description I'm sure to sound like the Beach Boys...,5,Add California to the name and I jump!,1375833600,"08 7, 2013",19,positive,Cable Quality,looks great | works well | Fender brand,Fender cables look attractive and function reliably.
A1GMWTGXW682GB,B000068NSX,MetalFan,"[0, 0]","This is a cool looking cheap cable which works well. I bent one of the connectors pretty badly but that was my fault. One thing to consider with the cable is to tighten the connectors once in awhile. You'll be able to hear them rattle. It seems that the 'retro' look is screw on connectors over some black rubber, but other than that, the cable looks cool and works well.I also have the shorter red cable which goes with one of my guitars perfectly. I bought theses to use while practicing with others who use black cables. It's easier to plug into different amps without cutting someone out by accident. The green cable is good for that.",4,"Cheap and cool looking, good length",1331856000,"03 16, 2012",20,mixed,Cable Quality | Build Quality | Value for Price,cool looking | works well | connectors rattle | screw-on connectors | retro aesthetic,Budget cable looks good and works well but connectors require periodic tightening.
A2W3CLAYZLDPTV,B000068NTU,"Amazon Customer ""=Chris=""","[0, 0]","Got this cable to run a rockband keyboard controller to my M-audio profire 2626 to control midi in Pro Tools. Works great! Firm fit, solidly molded ends, reputable branded cable.(a bit on the thin side, but i haven't seen to have any issue due to this or anything. Couldn't go wrong for $5 at the time of my purchase and prime eligibility.",5,Quality cable!,1341446400,"07 5, 2012",23,positive,Cable Quality | Build Quality | Value for Price,firm fit | molded ends | reputable brand | great value | works perfectly,Quality midi cable with solid construction and molded ends at excellent price.
A27DR1VO079F1V,B000068NVI,Dan Edman,"[0, 0]",I bought these to go from my board to the amp. We use them for a mobile church so they take a beating. They are still going strong.,5,Still going,1392768000,"02 19, 2014",29,positive,Cable Quality | Durability,mobile church use | heavy use | still going strong | reliable,Cable withstands heavy mobile use and continues functioning reliably.
AU9BPT3Y3K6J4,B000068NVI,G. L. Beebe,"[0, 0]","Use it every week at gigs. Solid, no problems with the solder joints. A good quality cable at a very good price.",5,Good cable,1376092800,"08 10, 2013",31,positive,Cable Quality | Build Quality | Value for Price,weekly gigs | solid construction | good solder joints | excellent price,Durable cable with solid construction performs well at gigs and offers great value.
A2074KEJGRYJV4,B000068NVI,hcross,"[0, 0]",This was exactly what I was after. I have a voice touch and needed a small cord to connect the mic to the voice touch and this was perfect. Before I used a 20 foot cord to go about 12 inches. I highly recommend this for those who keep the mic on a stand and have a voice touch or other stand connected device for vocals.,5,Great little cord,1379289600,"09 16, 2013",33,positive,Cable Quality,perfect size | mic to voice touch | small cord | stand setup,Perfect-sized cable for connecting microphone to voice touch device on stand.
A319B090A2POEB,B000068NVI,Lee,"[0, 0]",This cable seems like it will last me for a while. As it is only being used to connect a DI box it will not get abused as much as the vocal mics always do.,4,Decent mic cable,1329004800,"02 12, 2012",35,positive,Durability,will last | DI box connection | minimal abuse,Durable cable suitable for DI box connection without heavy use.
A396ELNTQDFYPO,B000068NVI,Mark King,"[0, 0]","These are not the greatest but they're cheap and they get to you fast when you need them. I've only had one fail and I've bought many of them to use in our broadcast studio.Amazon is the first place I go when I need cables for audio, video, computers or concert lighting.Good music to all!",4,Decent inexpensive cable,1379289600,"09 16, 2013",36,mixed,Cable Quality | Durability,cheap | fast delivery | one failed | broadcast studio,Affordable cables with fast delivery; one failure experienced despite multiple purchases.
A3DWQW2L39RB1S,B000068NVI,S. Dawdy,"[0, 0]","I bought this cord after returning a cheap one that I should've known better than to buy. My son, who has some experience as a musician recommended the Hosa brand when I was seeking a proper replacement.I bought it for a small home recording setup which includes a Behringer C-1 Condenser Microphone and a Behringer Xenyx 302 Mixer, and both ends make a reliable connection to both the board and the mic; the sound quality is excellent.An excellent value for the money.",4,"Excellent quality, exactly what I needed",1355443200,"12 14, 2012",39,positive,Cable Quality | Sound Quality,Hosa brand | reliable connection | excellent sound quality | good value,Hosa cable provides excellent sound quality and reliable connections at good value.
A1EUO0BU72JR7T,B000068NW5,Bilbo,"[0, 0]","Seems sturdy enough, and no noise issues, so I'm pretty much satified with it; it doesn't leave the house so I'm not asking it to handle a lot, but with reasonable care it should last a while.",5,"Works wonderfully, no noise",1372291200,"06 27, 2013",47,positive,Cable Quality | Durability,sturdy | no noise issues | reasonable care | should last,Sturdy cable with no noise issues that should last with reasonable care.
A12ABV9NU02O29,B000068NW5,C. Longo,"[2, 2]","I didn't expect this cable to be so thin. It's easily 1/2 the thickness of any guitar cable I've used. Not sure about long-term durability or signal loss/interference. If I had the foresight I'd spend a couple extra bucks on a thicker cable. Still, it works and was inexpensive.EDIT: 6 months later and it's dead already. Wire frayed at the right angle jack. You get what you pay for.",2,Cannot recommend,1309910400,"07 6, 2011",50,negative,Cable Quality | Durability,too thin | durability concerns | frayed wire | failed after six months,Thin cable failed after six months with frayed wire at connector.
