review_title,review_details,customer_name,review_timestamp,row_id,sentiment,categories,keywords,summary
Horrible meal,"Horrible mealHad meal at kelso nsw it was disgusting hamburgers dry, fries cool ,drinks expensive.last time I was there within last 2 years I forgot how bad it was never again",patricia,6h,0,negative,Food Quality | Food Temperature | Price Value,dry hamburgers | cool fries | expensive drinks | disgusting,"Meal was disgusting with dry hamburgers, cool fries, and expensive drinks."
"Bad customer services, Rude staff","Bad customer services, Rude staffMc Donald's Dovton VictoriaHad to wait in the Drive through for 15 minutes to get to the payment window, then revived cold food! got back to work late too. NOT What i paid for!! Rang and left my name for a call back, funny never was called back.",jay,10h,1,negative,Drive-Thru Experience | Food Temperature | Staff Behavior,long wait | cold food | rude staff | no callback,"Long drive-thru wait, cold food, and unresponsive staff caused customer to be late."
"Watch out for the ""Karen"", she's a government weapon","Watch out for the ""Karen"", she's a government weaponThe West Gosford store I go to every once a fortnight for a snacky midnight treat. The last four times the meals have been cold, and I said ""I hope this time the meal won't be cold"". Well ""Karen"" ordered me to drive to the other window which was clearly not in attendance and left me there. ""Karen"" decided, I needed. to be punished for complaining. I'm over 60, white and male, and we are first on the Government hit list for the Agenda 2030 debacle. This behaviour is not lawful or legal, if you ... Read moretrigger a ""Karen"" they can have you arrested on hearsay whilst the law looks the way for so much as farting in the wrong direction. Remember these women are not attractive, they are bitter and forgotten. Nothing is more dangerus than a ""Karen"" wth a axe to grind.. I've noticed during 2024 this behaviour amongst bitter women who are programmed by third wave feminism with this vile male hatred. is becoming more and more common I've never encountered this disgugusting behaviour from McDonalds ever. I have a heart condition i returned later to get my money back, i woudn't take the meal that would be coldl. She told me to wait and slammed the window. this made me so upset I started feeling as if I was having another heart attack. I had to get to the hospital real quick, where, oddly enough, there was another ""Karen"" who decided I was garbage so she got security who picked me up and threw me in the gutter where the cab rank is. And why did this all happen? Because I went to the West Gosford Mcdonalds like I've done so many times before. I want my money returned and an appology and maybe a token hot meal, that's all. Oh and get rid of ""Karen""",Bazcar,17h,2,negative,Food Temperature | Staff Behavior,cold meals | rude staff member | poor service | refund denied,Customer received cold meals and experienced dismissive treatment from staff.
Morally Wrong,Morally WrongHow can Maccas find it morally acceptable to support a violent series like Squid Games by having a Squid Games meal … are you serious!,FrankV,1d,3,negative,,morally wrong | violent series | Squid Games promotion,Customer objects to McDonald's partnership with violent Squid Games series.
McDonald's needs to pull its socks up - a lot,"McDonald's needs to pull its socks up - a lotBell and Sussex Street, Pascoe Vale South. I went there today (New Years Day). Yet again the fries were barely warm. Several times in the past, I have sent the order back. What was worse this time was that nobody wanted to serve me. An employee actually stood right in front of me and checked the cafe without even looking at me. She then walked away. After that, the store manager came really close and seemed to be checking around but she didn't check if anyone was serving me. Eventually, the store manager returned and served me herself - so she knew I was there! I remember a time when Macca's would die a thousand deaths if there was ANYTHING wrong with their food or their service.",Nika,1d,4,negative,Food Temperature | Staff Behavior | Service Speed,warm fries | ignored customer | poor service | inattentive staff,Fries served barely warm and customer was ignored by multiple staff members.
Putrid,"PutridIt seems most Maccas restaurants are pig styles these days. Sometimes the stores are super busy so understaffing may be an issue. Other restaurants just have no excuse other than staff being young and oblivious to the mess. It shouldn’t be difficult to find a table that is not covered with food scraps. I just don’t understand; I worked in Maccas London back in 1978, there was always someone allocated to clean the tables and they were cleaned straight after the patrons exited. Lift your game Maccas, do something about the putrid state of your restaurants (toilets included).",Sharene,3d,5,negative,Cleanliness,filthy restaurants | food scraps on tables | dirty toilets | understaffing,Restaurant is dirty with uncleaned tables and poor sanitation standards.
Missing Item,Missing ItemItem missing from order what a joke trying to contact MacDonalds keep getting redirected can’t be that hard to read order and check won’t be ordering any more. Show details,Sulley,3d,6,negative,Order Accuracy,missing item | unable to contact | order check failed,Item missing from order and customer unable to reach McDonald's for resolution.
Disgusting toilets,"Disgusting toilets99% of McDonald's toilets are disgusting. They are filthy, the equipment is often broken, e.g. toilet seat, it's a reflection on them as a company and what they think of us, their customers.Let's face it, the toilets are better at Hungry Jack's.",Hilly,5d,7,negative,Cleanliness | Equipment Availability,filthy toilets | broken equipment | poor hygiene | unfavorable comparison,McDonald's toilets are consistently dirty with broken equipment throughout locations.
Cannot make coffee,"Cannot make coffee1/2 a cup of coffee, just ordered a large coffee flat white and its half empty; its always a hit or miss , this is Mcds opposite Asfield Park 2131",michael,1w,8,negative,Portion Size,half-empty cup | inconsistent service | large coffee underfilled,Large coffee served only half full with inconsistent quality.
Sugar added and not advised,"Sugar added and not advisedOrdered an iced latte, it was made with sugar in it so was slightly sweet. I don’t know why they make it sweet . Should give people an option to have no sugar!",David,1w,9,negative,Food Quality | Order Accuracy,unwanted sugar added | no option given | sweet iced latte,Iced latte made with sugar without customer consent or option for no sugar.
Same old…. Stale food and missing items,"Same old…. Stale food and missing itemsMcDonald’s Sunbury, Horne street.Purchased sausage and egg muffins at 7am. I get home they are stale and hard and also no eggs. Nothing but dramas with this store. It should be closed down.",dmwheelers,1w,10,negative,Food Quality | Order Accuracy | Food Temperature,stale and hard muffins | missing eggs | recurring problems,"Stale, hard sausage and egg muffins with missing eggs at Sunbury location."
